"element_count","scan_repeats","candidates","correct","stable","baseline_stable","selected_stable","baseline_median_ms","baseline_p95_ms","baseline_cv","selected_median_ms","selected_p95_ms","selected_cv","speedup","retained_baseline","backend","group_size","elements_per_thread","actual_items_per_thread","single_pass_groups","single_pass_items_scale","baseline_candidate","selected_candidate","output_sha256"
"4194304","16","36","36","36","True","True","0.95263","0.95372375","0.0013534587708354375","0.7717975","0.77475825","0.003250276031182854","1.234300447980202","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","48d6c1906ad06f2de4fb61125605dcae70e96541d5b943cb14b78a74a05fb24e"
"4194304","24","36","36","36","True","True","1.3715","1.373042","0.0014692181238374613","1.0996725","1.1050955","0.002862173470548072","1.2471895041478258","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","48d6c1906ad06f2de4fb61125605dcae70e96541d5b943cb14b78a74a05fb24e"
"8388608","1","36","36","36","True","True","0.258285","0.25995225","0.00722894325051421","0.218675","0.22054","0.005935993223157423","1.181136389619298","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","b666adfa50b979680df7841dd24181a463d942e6f7f81c5ddff22643045bb876"
"8388608","4","36","36","35","True","True","0.506505","0.5136117499999999","0.008683919094379561","0.4169925","0.4230465","0.008687503365662099","1.2146621342110469","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","b666adfa50b979680df7841dd24181a463d942e6f7f81c5ddff22643045bb876"
"8388608","8","36","36","36","True","True","0.8928575","0.8949975","0.002345118798461275","0.7175325","0.72183075","0.0048824069517564165","1.244344332835098","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","b666adfa50b979680df7841dd24181a463d942e6f7f81c5ddff22643045bb876"
"8388608","12","36","36","35","True","True","1.27677","1.283701","0.004362013628811317","1.017695","1.0199545","0.0019245655923894511","1.254570377175873","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","b666adfa50b979680df7841dd24181a463d942e6f7f81c5ddff22643045bb876"
"8388608","16","36","36","35","True","True","1.66192","1.6684065","0.002991753703815202","1.31238","1.3192435","0.004336888776394473","1.2663405416114235","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","b666adfa50b979680df7841dd24181a463d942e6f7f81c5ddff22643045bb876"
"8388608","24","36","36","34","True","True","2.43403","2.4481155","0.003502381389115696","1.91677","1.9256965","0.003938198949882706","1.2698602336221871","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","b666adfa50b979680df7841dd24181a463d942e6f7f81c5ddff22643045bb876"
"12582912","1","36","36","36","True","True","0.3478525","0.35895525","0.016623163830664256","0.2829175","0.287757","0.011683618648732907","1.2295192061289952","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","fd1447279f4dbd44fbafbdfc2bb276d483a425e21858edc70cab202d051dedb8"
"12582912","4","36","36","34","True","True","1.0928575","1.0970855000000002","0.0022520216606205044","0.81211","0.8201675","0.004300623942607034","1.3457013212495845","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","fd1447279f4dbd44fbafbdfc2bb276d483a425e21858edc70cab202d051dedb8"
"12582912","8","36","36","36","True","True","2.105765","2.1152405","0.0024565922870294524","1.52568","1.53893","0.005544817460877195","1.3802140684809396","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","fd1447279f4dbd44fbafbdfc2bb276d483a425e21858edc70cab202d051dedb8"
"12582912","12","36","36","36","True","True","3.10688","3.128488","0.0038267763218830606","2.235755","2.27296","0.007999128430827162","1.3896334795181045","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","fd1447279f4dbd44fbafbdfc2bb276d483a425e21858edc70cab202d051dedb8"
"12582912","16","36","36","36","True","True","4.10606","4.121076","0.002534384914668331","2.92525","2.990832","0.009711088180543944","1.403661225536279","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","fd1447279f4dbd44fbafbdfc2bb276d483a425e21858edc70cab202d051dedb8"
"12582912","24","36","36","36","True","True","6.10832","6.142726","0.0027706474017321187","4.3653","4.390152","0.004416446838978204","1.3992898540764664","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","fd1447279f4dbd44fbafbdfc2bb276d483a425e21858edc70cab202d051dedb8"
"16777216","1","36","36","36","True","True","0.562135","0.568898","0.007813987775854759","0.3368975","0.34151225","0.007207013809599835","1.6685638807055558","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
