workload,elements,candidates,correct,stable,baseline_median_ms,baseline_p95_ms,selected_median_ms,selected_p95_ms,speedup
generic-exclusive-scan-u32-v1,4000000,66,66,66,0.05258140625,0.0533608125,0.02772875,0.027884984375,1.8962775548843709
segmented-exclusive-scan-u32-v1,4000000,108,108,108,0.06988953125,0.07012709375,0.0448853125,0.045246468750000005,1.5570690579462936
stream-compaction-u32-v1,4000000,66,66,65,0.0943340625,0.09522525,0.0191125,0.019313796875,4.935725964682799
histogram-prefix-u32-v1,4000000,36,36,36,0.172343125,0.174188125,0.0106765625,0.010806578124999999,16.142192302063517
radix-sort-u32-v1,262144,18,18,17,0.32861,0.331355,0.25800375,0.259798125,1.2736636579894673
