frame,thread,name,gpuMs
1,0,Crossover/Range,0
1,0,Crossover/Cull,0
1,0,Crossover/Draw,0
2,0,Crossover/Range,0.029
2,0,Crossover/Cull,0.007
2,0,Crossover/Draw,0.022
3,0,Crossover/Range,0.032
3,0,Crossover/Cull,0.008
3,0,Crossover/Draw,0.024
4,0,Crossover/Range,0.031
4,0,Crossover/Cull,0.007
4,0,Crossover/Draw,0.024
5,0,Crossover/Range,0.117
5,0,Crossover/Cull,0.028
5,0,Crossover/Draw,0.089
6,0,Crossover/Range,0.029
6,0,Crossover/Cull,0.007
6,0,Crossover/Draw,0.022
7,0,Crossover/Range,0.029
7,0,Crossover/Cull,0.007
7,0,Crossover/Draw,0.022
8,0,Crossover/Range,0.059
8,0,Crossover/Cull,0.014
8,0,Crossover/Draw,0.045
9,0,Crossover/Range,0.03
9,0,Crossover/Cull,0.007
9,0,Crossover/Draw,0.023
10,0,Crossover/Range,0.06
10,0,Crossover/Cull,0.014
10,0,Crossover/Draw,0.046
11,0,Crossover/Range,0.031
11,0,Crossover/Cull,0.008
11,0,Crossover/Draw,0.023
12,0,Crossover/Range,0.059
12,0,Crossover/Cull,0.014
12,0,Crossover/Draw,0.045
13,0,Crossover/Range,0.03
13,0,Crossover/Cull,0.008
13,0,Crossover/Draw,0.022
14,0,Crossover/Range,0.029
14,0,Crossover/Cull,0.007
14,0,Crossover/Draw,0.022
15,0,Crossover/Range,0.032
15,0,Crossover/Cull,0.008
15,0,Crossover/Draw,0.024
16,0,Crossover/Range,0.031
16,0,Crossover/Cull,0.008
16,0,Crossover/Draw,0.023
17,0,Crossover/Range,0.089
17,0,Crossover/Cull,0.021
17,0,Crossover/Draw,0.068
18,0,Crossover/Range,0.06
18,0,Crossover/Cull,0.015
18,0,Crossover/Draw,0.045
19,0,Crossover/Range,0.118
19,0,Crossover/Cull,0.029
19,0,Crossover/Draw,0.089
20,0,Crossover/Range,0.119
20,0,Crossover/Cull,0.029
20,0,Crossover/Draw,0.09
21,0,Crossover/Range,0.09
21,0,Crossover/Cull,0.021
21,0,Crossover/Draw,0.069
22,0,Crossover/Range,0.03
22,0,Crossover/Cull,0.007
22,0,Crossover/Draw,0.023
23,0,Crossover/Range,0.119
23,0,Crossover/Cull,0.028
23,0,Crossover/Draw,0.091
24,0,Crossover/Range,0.088
24,0,Crossover/Cull,0.021
24,0,Crossover/Draw,0.067
25,0,Crossover/Range,0.029
25,0,Crossover/Cull,0.006
25,0,Crossover/Draw,0.023
26,0,Crossover/Range,0.03
26,0,Crossover/Cull,0.007
26,0,Crossover/Draw,0.023
27,0,Crossover/Range,0.12
27,0,Crossover/Cull,0.03
27,0,Crossover/Draw,0.09
28,0,Crossover/Range,0.089
28,0,Crossover/Cull,0.022
28,0,Crossover/Draw,0.067
29,0,Crossover/Range,0.059
29,0,Crossover/Cull,0.014
29,0,Crossover/Draw,0.045
30,0,Crossover/Range,0.03
30,0,Crossover/Cull,0.007
30,0,Crossover/Draw,0.023
31,0,Crossover/Range,0.03
31,0,Crossover/Cull,0.007
31,0,Crossover/Draw,0.023
32,0,Crossover/Range,0.029
32,0,Crossover/Cull,0.006
32,0,Crossover/Draw,0.023
33,0,Crossover/Range,0.088
33,0,Crossover/Cull,0.021
33,0,Crossover/Draw,0.067
34,0,Crossover/Range,0.06
34,0,Crossover/Cull,0.015
34,0,Crossover/Draw,0.045
35,0,Crossover/Range,0.059
35,0,Crossover/Cull,0.014
35,0,Crossover/Draw,0.045
36,0,Crossover/Range,0.03
36,0,Crossover/Cull,0.007
36,0,Crossover/Draw,0.023
37,0,Crossover/Range,0.118
37,0,Crossover/Cull,0.027
37,0,Crossover/Draw,0.091
38,0,Crossover/Range,0.03
38,0,Crossover/Cull,0.007
38,0,Crossover/Draw,0.023
39,0,Crossover/Range,0.059
39,0,Crossover/Cull,0.014
39,0,Crossover/Draw,0.045
40,0,Crossover/Range,0.117
40,0,Crossover/Cull,0.028
40,0,Crossover/Draw,0.089
41,0,Crossover/Range,0.088
41,0,Crossover/Cull,0.021
41,0,Crossover/Draw,0.067
42,0,Crossover/Range,0.118
42,0,Crossover/Cull,0.028
42,0,Crossover/Draw,0.09
43,0,Crossover/Range,0.121
43,0,Crossover/Cull,0.03
43,0,Crossover/Draw,0.091
44,0,Crossover/Range,0.12
44,0,Crossover/Cull,0.031
44,0,Crossover/Draw,0.089
45,0,Crossover/Range,0.034
45,0,Crossover/Cull,0.012
45,0,Crossover/Draw,0.022
46,0,Crossover/Range,0.121
46,0,Crossover/Cull,0.031
46,0,Crossover/Draw,0.09
47,0,Crossover/Range,0.119
47,0,Crossover/Cull,0.029
47,0,Crossover/Draw,0.09
48,0,Crossover/Range,0.119
48,0,Crossover/Cull,0.028
48,0,Crossover/Draw,0.091
49,0,Crossover/Range,0.088
49,0,Crossover/Cull,0.021
49,0,Crossover/Draw,0.067
50,0,Crossover/Range,0.029
50,0,Crossover/Cull,0.006
50,0,Crossover/Draw,0.023
51,0,Crossover/Range,0.03
51,0,Crossover/Cull,0.007
51,0,Crossover/Draw,0.023
52,0,Crossover/Range,0.088
52,0,Crossover/Cull,0.021
52,0,Crossover/Draw,0.067
53,0,Crossover/Range,0.059
53,0,Crossover/Cull,0.014
53,0,Crossover/Draw,0.045
54,0,Crossover/Range,0.088
54,0,Crossover/Cull,0.02
54,0,Crossover/Draw,0.068
55,0,Crossover/Range,0.029
55,0,Crossover/Cull,0.007
55,0,Crossover/Draw,0.022
56,0,Crossover/Range,0.088
56,0,Crossover/Cull,0.02
56,0,Crossover/Draw,0.068
57,0,Crossover/Range,0.089
57,0,Crossover/Cull,0.021
57,0,Crossover/Draw,0.068
58,0,Crossover/Range,0.117
58,0,Crossover/Cull,0.026
58,0,Crossover/Draw,0.091
59,0,Crossover/Range,0.088
59,0,Crossover/Cull,0.021
59,0,Crossover/Draw,0.067
60,0,Crossover/Range,0.061
60,0,Crossover/Cull,0.015
60,0,Crossover/Draw,0.046
61,0,Crossover/Range,0.061
61,0,Crossover/Cull,0.016
61,0,Crossover/Draw,0.045
62,0,Crossover/Range,0.117
62,0,Crossover/Cull,0.028
62,0,Crossover/Draw,0.089
63,0,Crossover/Range,0.06
63,0,Crossover/Cull,0.014
63,0,Crossover/Draw,0.046
64,0,Crossover/Range,0.031
64,0,Crossover/Cull,0.007
64,0,Crossover/Draw,0.024
65,0,Crossover/Range,0.059
65,0,Crossover/Cull,0.014
65,0,Crossover/Draw,0.045
66,0,Crossover/Range,0.09
66,0,Crossover/Cull,0.022
66,0,Crossover/Draw,0.068
67,0,Crossover/Range,0.061
67,0,Crossover/Cull,0.015
67,0,Crossover/Draw,0.046
68,0,Crossover/Range,0.059
68,0,Crossover/Cull,0.014
68,0,Crossover/Draw,0.045
69,0,Crossover/Range,0.09
69,0,Crossover/Cull,0.021
69,0,Crossover/Draw,0.069
70,0,Crossover/Range,0.06
70,0,Crossover/Cull,0.015
70,0,Crossover/Draw,0.045
71,0,Crossover/Range,0.059
71,0,Crossover/Cull,0.013
71,0,Crossover/Draw,0.046
72,0,Crossover/Range,0.029
72,0,Crossover/Cull,0.007
72,0,Crossover/Draw,0.022
73,0,Crossover/Range,0.029
73,0,Crossover/Cull,0.007
73,0,Crossover/Draw,0.022
74,0,Crossover/Range,0.12
74,0,Crossover/Cull,0.029
74,0,Crossover/Draw,0.091
75,0,Crossover/Range,0.09
75,0,Crossover/Cull,0.022
75,0,Crossover/Draw,0.068
76,0,Crossover/Range,0.12
76,0,Crossover/Cull,0.028
76,0,Crossover/Draw,0.092
77,0,Crossover/Range,0.089
77,0,Crossover/Cull,0.021
77,0,Crossover/Draw,0.068
78,0,Crossover/Range,0.118
78,0,Crossover/Cull,0.028
78,0,Crossover/Draw,0.09
79,0,Crossover/Range,0.118
79,0,Crossover/Cull,0.028
79,0,Crossover/Draw,0.09
80,0,Crossover/Range,0.062
80,0,Crossover/Cull,0.017
80,0,Crossover/Draw,0.045
81,0,Crossover/Range,0.09
81,0,Crossover/Cull,0.023
81,0,Crossover/Draw,0.067
82,0,Crossover/Range,0.032
82,0,Crossover/Cull,0.009
82,0,Crossover/Draw,0.023
83,0,Crossover/Range,0.118
83,0,Crossover/Cull,0.028
83,0,Crossover/Draw,0.09
84,0,Crossover/Range,0.117
84,0,Crossover/Cull,0.028
84,0,Crossover/Draw,0.089
85,0,Crossover/Range,0.059
85,0,Crossover/Cull,0.014
85,0,Crossover/Draw,0.045
86,0,Crossover/Range,0.059
86,0,Crossover/Cull,0.014
86,0,Crossover/Draw,0.045
87,0,Crossover/Range,0.089
87,0,Crossover/Cull,0.021
87,0,Crossover/Draw,0.068
88,0,Crossover/Range,0.03
88,0,Crossover/Cull,0.008
88,0,Crossover/Draw,0.022
89,0,Crossover/Range,0.088
89,0,Crossover/Cull,0.02
89,0,Crossover/Draw,0.068
90,0,Crossover/Range,0.091
90,0,Crossover/Cull,0.023
90,0,Crossover/Draw,0.068
91,0,Crossover/Range,0.031
91,0,Crossover/Cull,0.008
91,0,Crossover/Draw,0.023
92,0,Crossover/Range,0.09
92,0,Crossover/Cull,0.021
92,0,Crossover/Draw,0.069
93,0,Crossover/Range,0.03
93,0,Crossover/Cull,0.006
93,0,Crossover/Draw,0.024
94,0,Crossover/Range,0.118
94,0,Crossover/Cull,0.028
94,0,Crossover/Draw,0.09
95,0,Crossover/Range,0.063
95,0,Crossover/Cull,0.016
95,0,Crossover/Draw,0.047
96,0,Crossover/Range,0.059
96,0,Crossover/Cull,0.014
96,0,Crossover/Draw,0.045
